tick,prey_population,predator_population,resource_count,avg_prey_speed,avg_predator_speed,avg_prey_vision,avg_predator_vision,births_total,deaths_total,predation_total,prey_extinct,predators_extinct
1,72,8,125,2.2290193779663396,2.181194109209369,104.63502060500798,122.79955671828264,27,0,0,0,0
2,72,8,126,2.2290193779663396,2.181194109209369,104.63502060500798,122.79955671828264,27,0,0,0,0
3,72,8,125,2.2290193779663396,2.181194109209369,104.63502060500798,122.79955671828264,27,0,0,0,0
4,72,8,126,2.2290193779663396,2.181194109209369,104.63502060500798,122.79955671828264,27,0,0,0,0
5,72,8,126,2.2290193779663396,2.181194109209369,104.63502060500798,122.79955671828264,27,0,0,0,0
6,72,8,124,2.2290193779663396,2.181194109209369,104.63502060500798,122.79955671828264,27,0,0,0,0
7,72,8,122,2.2290193779663396,2.181194109209369,104.63502060500798,122.79955671828264,27,0,0,0,0
8,72,8,122,2.2290193779663396,2.181194109209369,104.63502060500798,122.79955671828264,27,0,0,0,0
9,72,8,121,2.2290193779663396,2.181194109209369,104.63502060500798,122.79955671828264,27,0,0,0,0
10,72,8,121,2.2290193779663396,2.181194109209369,104.63502060500798,122.79955671828264,27,0,0,0,0
11,72,8,120,2.2290193779663396,2.181194109209369,104.63502060500798,122.79955671828264,27,0,0,0,0
12,72,8,119,2.2290193779663396,2.181194109209369,104.63502060500798,122.79955671828264,27,0,0,0,0
13,73,8,118,2.2297250179677146,2.181194109209369,104.95041949918976,122.79955671828264,28,0,0,0,0
14,73,8,115,2.2297250179677146,2.181194109209369,104.95041949918976,122.79955671828264,28,0,0,0,0
15,73,8,115,2.2297250179677146,2.181194109209369,104.95041949918976,122.79955671828264,28,0,0,0,0
16,73,8,114,2.2297250179677146,2.181194109209369,104.95041949918976,122.79955671828264,28,0,0,0,0
17,73,8,111,2.2297250179677146,2.181194109209369,104.95041949918976,122.79955671828264,28,0,0,0,0
18,73,8,111,2.2297250179677146,2.181194109209369,104.95041949918976,122.79955671828264,28,0,0,0,0
19,73,8,110,2.2297250179677146,2.181194109209369,104.95041949918976,122.79955671828264,28,0,0,0,0
20,73,8,110,2.2297250179677146,2.181194109209369,104.95041949918976,122.79955671828264,28,0,0,0,0
21,74,8,109,2.2219867550051324,2.181194109209369,104.52088261581814,122.79955671828264,29,0,0,0,0
22,74,8,108,2.2219867550051324,2.181194109209369,104.52088261581814,122.79955671828264,29,0,0,0,0
23,74,8,106,2.2219867550051324,2.181194109209369,104.52088261581814,122.79955671828264,29,0,0,0,0
24,74,8,105,2.2219867550051324,2.181194109209369,104.52088261581814,122.79955671828264,29,0,0,0,0
25,74,8,104,2.2219867550051324,2.181194109209369,104.52088261581814,122.79955671828264,29,0,0,0,0
26,75,8,105,2.2320046914490916,2.181194109209369,104.80337093901174,122.79955671828264,30,0,0,0,0
27,75,8,104,2.2320046914490916,2.181194109209369,104.80337093901174,122.79955671828264,30,0,0,0,0
28,75,8,104,2.2320046914490916,2.181194109209369,104.80337093901174,122.79955671828264,30,0,0,0,0
29,75,8,104,2.2320046914490916,2.181194109209369,104.80337093901174,122.79955671828264,30,0,0,0,0
30,76,8,104,2.2357906887727066,2.181194109209369,104.87037243657615,122.79955671828264,31,0,0,0,0
31,76,8,103,2.2357906887727066,2.181194109209369,104.87037243657615,122.79955671828264,31,0,0,0,0
32,76,8,102,2.2357906887727066,2.181194109209369,104.87037243657615,122.79955671828264,31,0,0,0,0
33,76,8,101,2.2357906887727066,2.181194109209369,104.87037243657615,122.79955671828264,31,0,0,0,0
34,77,8,100,2.239595824702291,2.181194109209369,105.2308361021423,122.79955671828264,32,0,0,0,0
35,77,8,100,2.239595824702291,2.181194109209369,105.2308361021423,122.79955671828264,32,0,0,0,0
36,77,8,99,2.239595824702291,2.181194109209369,105.2308361021423,122.79955671828264,32,0,0,0,0
37,77,8,98,2.239595824702291,2.181194109209369,105.2308361021423,122.79955671828264,32,0,0,0,0
38,77,8,97,2.239595824702291,2.181194109209369,105.2308361021423,122.79955671828264,32,0,0,0,0
39,77,8,97,2.239595824702291,2.181194109209369,105.2308361021423,122.79955671828264,32,0,0,0,0
40,77,8,96,2.239595824702291,2.181194109209369,105.2308361021423,122.79955671828264,32,0,0,0,0
41,77,8,96,2.239595824702291,2.181194109209369,105.2308361021423,122.79955671828264,32,0,0,0,0
42,77,8,95,2.239595824702291,2.181194109209369,105.2308361021423,122.79955671828264,32,0,0,0,0
43,77,8,96,2.2384528156434262,2.181194109209369,105.52782917244598,122.79955671828264,33,1,1,0,0
44,77,9,94,2.2384528156434262,2.2117492216971524,105.52782917244598,120.88954925973933,34,1,1,0,0
45,78,9,94,2.243986194658044,2.2117492216971524,105.87901038204006,120.88954925973933,35,1,1,0,0
46,78,9,93,2.243986194658044,2.2117492216971524,105.87901038204006,120.88954925973933,35,1,1,0,0
47,78,9,93,2.243986194658044,2.2117492216971524,105.87901038204006,120.88954925973933,35,1,1,0,0
48,78,9,92,2.243986194658044,2.2117492216971524,105.87901038204006,120.88954925973933,35,1,1,0,0
49,78,9,92,2.243986194658044,2.2117492216971524,105.87901038204006,120.88954925973933,35,1,1,0,0
50,78,9,91,2.243986194658044,2.2117492216971524,105.87901038204006,120.88954925973933,35,1,1,0,0
51,78,9,89,2.243986194658044,2.2117492216971524,105.87901038204006,120.88954925973933,35,1,1,0,0
52,77,9,89,2.244649627760596,2.2117492216971524,106.34392904968287,120.88954925973933,35,2,2,0,0
53,77,10,89,2.244649627760596,2.2801441874084705,106.34392904968287,122.45020728204877,36,2,2,0,0
54,77,10,89,2.244649627760596,2.2801441874084705,106.34392904968287,122.45020728204877,36,2,2,0,0
55,77,10,89,2.244649627760596,2.2801441874084705,106.34392904968287,122.45020728204877,36,2,2,0,0
56,77,10,90,2.244649627760596,2.2801441874084705,106.34392904968287,122.45020728204877,36,2,2,0,0
57,77,10,90,2.244649627760596,2.2801441874084705,106.34392904968287,122.45020728204877,36,2,2,0,0
58,77,10,87,2.244649627760596,2.2801441874084705,106.34392904968287,122.45020728204877,36,2,2,0,0
59,77,10,88,2.244649627760596,2.2801441874084705,106.34392904968287,122.45020728204877,36,2,2,0,0
60,77,10,89,2.244649627760596,2.2801441874084705,106.34392904968287,122.45020728204877,36,2,2,0,0
61,77,10,89,2.244649627760596,2.2801441874084705,106.34392904968287,122.45020728204877,36,2,2,0,0
62,77,10,89,2.244649627760596,2.2801441874084705,106.34392904968287,122.45020728204877,36,2,2,0,0
63,77,10,88,2.244649627760596,2.2801441874084705,106.34392904968287,122.45020728204877,36,2,2,0,0
64,77,10,89,2.244649627760596,2.2801441874084705,106.34392904968287,122.45020728204877,36,2,2,0,0
65,77,10,89,2.244649627760596,2.2801441874084705,106.34392904968287,122.45020728204877,36,2,2,0,0
66,77,10,87,2.244649627760596,2.2801441874084705,106.34392904968287,122.45020728204877,36,2,2,0,0
67,77,10,87,2.244649627760596,2.2801441874084705,106.34392904968287,122.45020728204877,36,2,2,0,0
68,77,10,87,2.244649627760596,2.2801441874084705,106.34392904968287,122.45020728204877,36,2,2,0,0
69,77,10,87,2.244649627760596,2.2801441874084705,106.34392904968287,122.45020728204877,36,2,2,0,0
70,77,10,87,2.244649627760596,2.2801441874084705,106.34392904968287,122.45020728204877,36,2,2,0,0
71,77,10,87,2.244649627760596,2.2801441874084705,106.34392904968287,122.45020728204877,36,2,2,0,0
72,77,10,86,2.244649627760596,2.2801441874084705,106.34392904968287,122.45020728204877,36,2,2,0,0
73,77,10,85,2.244649627760596,2.2801441874084705,106.34392904968287,122.45020728204877,36,2,2,0,0
74,77,10,84,2.244649627760596,2.2801441874084705,106.34392904968287,122.45020728204877,36,2,2,0,0
75,77,10,84,2.244649627760596,2.2801441874084705,106.34392904968287,122.45020728204877,36,2,2,0,0
76,77,10,85,2.244649627760596,2.2801441874084705,106.34392904968287,122.45020728204877,36,2,2,0,0
77,77,10,85,2.244649627760596,2.2801441874084705,106.34392904968287,122.45020728204877,36,2,2,0,0
78,77,10,81,2.244649627760596,2.2801441874084705,106.34392904968287,122.45020728204877,36,2,2,0,0
79,101,10,81,2.245670277610729,2.2801441874084705,107.51889763131135,122.45020728204877,60,2,2,0,0
80,101,10,81,2.245670277610729,2.2801441874084705,107.51889763131135,122.45020728204877,60,2,2,0,0
81,102,10,82,2.2473683192556266,2.2801441874084705,107.86901145903292,122.45020728204877,61,2,2,0,0
82,102,10,81,2.2473683192556266,2.2801441874084705,107.86901145903292,122.45020728204877,61,2,2,0,0
83,102,10,81,2.2473683192556266,2.2801441874084705,107.86901145903292,122.45020728204877,61,2,2,0,0
84,103,10,81,2.2502665862156817,2.2801441874084705,108.2123269600026,122.45020728204877,62,2,2,0,0
85,103,10,80,2.2502665862156817,2.2801441874084705,108.2123269600026,122.45020728204877,62,2,2,0,0
86,104,10,79,2.2448843549978745,2.2801441874084705,108.35492120008328,122.45020728204877,63,2,2,0,0
87,104,10,79,2.2448843549978745,2.2801441874084705,108.35492120008328,122.45020728204877,63,2,2,0,0
88,104,10,78,2.2448843549978745,2.2801441874084705,108.35492120008328,122.45020728204877,63,2,2,0,0
89,105,10,78,2.247159475235063,2.2801441874084705,108.16638808646397,122.45020728204877,64,2,2,0,0
90,105,10,79,2.247159475235063,2.2801441874084705,108.16638808646397,122.45020728204877,64,2,2,0,0
91,107,10,79,2.2492791174768616,2.2801441874084705,108.57043437831703,122.45020728204877,66,2,2,0,0
92,107,10,79,2.2492791174768616,2.2801441874084705,108.57043437831703,122.45020728204877,66,2,2,0,0
93,107,10,78,2.2492791174768616,2.2801441874084705,108.57043437831703,122.45020728204877,66,2,2,0,0
94,107,10,77,2.2492791174768616,2.2801441874084705,108.57043437831703,122.45020728204877,66,2,2,0,0
95,107,10,77,2.2492791174768616,2.2801441874084705,108.57043437831703,122.45020728204877,66,2,2,0,0
96,107,10,78,2.2492791174768616,2.2801441874084705,108.57043437831703,122.45020728204877,66,2,2,0,0
97,107,10,78,2.2492791174768616,2.2801441874084705,108.57043437831703,122.45020728204877,66,2,2,0,0
98,107,10,78,2.2492791174768616,2.2801441874084705,108.57043437831703,122.45020728204877,66,2,2,0,0
99,107,10,78,2.2492791174768616,2.2801441874084705,108.57043437831703,122.45020728204877,66,2,2,0,0
100,107,10,78,2.2492791174768616,2.2801441874084705,108.57043437831703,122.45020728204877,66,2,2,0,0
101,107,10,76,2.2492791174768616,2.2801441874084705,108.57043437831703,122.45020728204877,66,2,2,0,0
102,107,10,76,2.2492791174768616,2.2801441874084705,108.57043437831703,122.45020728204877,66,2,2,0,0
103,107,10,76,2.2492791174768616,2.2801441874084705,108.57043437831703,122.45020728204877,66,2,2,0,0
104,107,10,76,2.2492791174768616,2.2801441874084705,108.57043437831703,122.45020728204877,66,2,2,0,0
105,107,10,73,2.2492791174768616,2.2801441874084705,108.57043437831703,122.45020728204877,66,2,2,0,0
106,108,10,73,2.258556362245941,2.2801441874084705,108.88311535560482,122.45020728204877,67,2,2,0,0
107,108,10,72,2.258556362245941,2.2801441874084705,108.88311535560482,122.45020728204877,67,2,2,0,0
108,109,10,72,2.2678160799892586,2.2801441874084705,108.49029531560008,122.45020728204877,68,2,2,0,0
109,109,10,71,2.2678160799892586,2.2801441874084705,108.49029531560008,122.45020728204877,68,2,2,0,0
110,110,10,71,2.2738754792171507,2.2801441874084705,108.839377287497,122.45020728204877,69,2,2,0,0
111,110,10,71,2.2738754792171507,2.2801441874084705,108.839377287497,122.45020728204877,69,2,2,0,0
112,110,10,69,2.2738754792171507,2.2801441874084705,108.839377287497,122.45020728204877,69,2,2,0,0
113,112,10,69,2.275571276175701,2.2801441874084705,108.60253050452467,122.45020728204877,71,2,2,0,0
