tick,prey_population,predator_population,resource_count,avg_prey_speed,avg_predator_speed,avg_prey_vision,avg_predator_vision,births_total,deaths_total,predation_total,prey_extinct,predators_extinct
1,72,8,125,2.2271136253794523,2.181194109209369,103.34096229887193,122.79955671828264,27,0,0,0,0
2,72,8,123,2.2271136253794523,2.181194109209369,103.34096229887193,122.79955671828264,27,0,0,0,0
3,72,8,122,2.2271136253794523,2.181194109209369,103.34096229887193,122.79955671828264,27,0,0,0,0
4,73,8,121,2.241014291161419,2.181194109209369,102.76004735081037,122.79955671828264,28,0,0,0,0
5,74,8,120,2.2306334509935546,2.181194109209369,103.33495397603782,122.79955671828264,29,0,0,0,0
6,74,8,121,2.2306334509935546,2.181194109209369,103.33495397603782,122.79955671828264,29,0,0,0,0
7,74,8,118,2.2306334509935546,2.181194109209369,103.33495397603782,122.79955671828264,29,0,0,0,0
8,76,8,116,2.229313424151154,2.181194109209369,103.88863459224385,122.79955671828264,31,0,0,0,0
9,77,8,113,2.22997858874746,2.181194109209369,104.2679386180098,122.79955671828264,32,0,0,0,0
10,77,8,112,2.22997858874746,2.181194109209369,104.2679386180098,122.79955671828264,32,0,0,0,0
11,77,8,112,2.22997858874746,2.181194109209369,104.2679386180098,122.79955671828264,32,0,0,0,0
12,77,8,110,2.22997858874746,2.181194109209369,104.2679386180098,122.79955671828264,32,0,0,0,0
13,77,8,110,2.22997858874746,2.181194109209369,104.2679386180098,122.79955671828264,32,0,0,0,0
14,77,8,109,2.22997858874746,2.181194109209369,104.2679386180098,122.79955671828264,32,0,0,0,0
15,77,8,108,2.22997858874746,2.181194109209369,104.2679386180098,122.79955671828264,32,0,0,0,0
16,77,8,106,2.22997858874746,2.181194109209369,104.2679386180098,122.79955671828264,32,0,0,0,0
17,77,8,105,2.22997858874746,2.181194109209369,104.2679386180098,122.79955671828264,32,0,0,0,0
18,77,8,105,2.22997858874746,2.181194109209369,104.2679386180098,122.79955671828264,32,0,0,0,0
19,77,8,105,2.22997858874746,2.181194109209369,104.2679386180098,122.79955671828264,32,0,0,0,0
20,77,8,103,2.22997858874746,2.181194109209369,104.2679386180098,122.79955671828264,32,0,0,0,0
21,78,8,102,2.2226339088755265,2.181194109209369,103.74608794608184,122.79955671828264,33,0,0,0,0
22,78,8,103,2.2226339088755265,2.181194109209369,103.74608794608184,122.79955671828264,33,0,0,0,0
23,78,8,101,2.2226339088755265,2.181194109209369,103.74608794608184,122.79955671828264,33,0,0,0,0
24,78,8,100,2.2226339088755265,2.181194109209369,103.74608794608184,122.79955671828264,33,0,0,0,0
25,78,8,98,2.2226339088755265,2.181194109209369,103.74608794608184,122.79955671828264,33,0,0,0,0
26,79,8,97,2.2208772329940483,2.181194109209369,103.27022623762784,122.79955671828264,34,0,0,0,0
27,79,8,93,2.2208772329940483,2.181194109209369,103.27022623762784,122.79955671828264,34,0,0,0,0
28,79,8,91,2.2208772329940483,2.181194109209369,103.27022623762784,122.79955671828264,34,0,0,0,0
29,80,8,91,2.2246130236821706,2.181194109209369,103.35304196908132,122.79955671828264,35,0,0,0,0
30,80,8,89,2.2246130236821706,2.181194109209369,103.35304196908132,122.79955671828264,35,0,0,0,0
31,80,8,89,2.2246130236821706,2.181194109209369,103.35304196908132,122.79955671828264,35,0,0,0,0
32,80,8,90,2.2246130236821706,2.181194109209369,103.35304196908132,122.79955671828264,35,0,0,0,0
33,80,8,88,2.2246130236821706,2.181194109209369,103.35304196908132,122.79955671828264,35,0,0,0,0
34,81,8,87,2.2283682475299305,2.181194109209369,103.54992442967159,122.79955671828264,36,0,0,0,0
35,81,8,87,2.2283682475299305,2.181194109209369,103.54992442967159,122.79955671828264,36,0,0,0,0
36,80,8,86,2.2288115775520354,2.181194109209369,103.96829507287319,122.79955671828264,36,1,1,0,0
37,80,9,85,2.2288115775520354,2.260583528053921,103.96829507287319,124.3213981365661,37,1,1,0,0
38,80,9,82,2.2288115775520354,2.260583528053921,103.96829507287319,124.3213981365661,37,1,1,0,0
39,80,9,82,2.2288115775520354,2.260583528053921,103.96829507287319,124.3213981365661,37,1,1,0,0
40,80,9,83,2.2288115775520354,2.260583528053921,103.96829507287319,124.3213981365661,37,1,1,0,0
41,80,9,81,2.2288115775520354,2.260583528053921,103.96829507287319,124.3213981365661,37,1,1,0,0
42,80,9,80,2.2288115775520354,2.260583528053921,103.96829507287319,124.3213981365661,37,1,1,0,0
43,79,9,80,2.2372668656695027,2.260583528053921,103.86054211387743,124.3213981365661,37,2,2,0,0
44,79,10,81,2.2372668656695027,2.271867828244118,103.86054211387743,122.9578664451008,38,2,2,0,0
45,79,10,80,2.2372668656695027,2.271867828244118,103.86054211387743,122.9578664451008,38,2,2,0,0
46,79,10,80,2.2372668656695027,2.271867828244118,103.86054211387743,122.9578664451008,38,2,2,0,0
47,80,10,80,2.249941299255352,2.271867828244118,104.34153508652143,122.9578664451008,39,2,2,0,0
48,80,10,79,2.249941299255352,2.271867828244118,104.34153508652143,122.9578664451008,39,2,2,0,0
49,80,10,78,2.249941299255352,2.271867828244118,104.34153508652143,122.9578664451008,39,2,2,0,0
50,80,10,78,2.249941299255352,2.271867828244118,104.34153508652143,122.9578664451008,39,2,2,0,0
51,80,10,78,2.249941299255352,2.271867828244118,104.34153508652143,122.9578664451008,39,2,2,0,0
52,80,10,77,2.249941299255352,2.271867828244118,104.34153508652143,122.9578664451008,39,2,2,0,0
53,81,10,78,2.252828097781862,2.271867828244118,104.14668828631814,122.9578664451008,40,2,2,0,0
54,81,10,77,2.252828097781862,2.271867828244118,104.14668828631814,122.9578664451008,40,2,2,0,0
55,81,10,75,2.252828097781862,2.271867828244118,104.14668828631814,122.9578664451008,40,2,2,0,0
56,81,10,73,2.252828097781862,2.271867828244118,104.14668828631814,122.9578664451008,40,2,2,0,0
57,81,10,73,2.252828097781862,2.271867828244118,104.14668828631814,122.9578664451008,40,2,2,0,0
58,81,10,71,2.252828097781862,2.271867828244118,104.14668828631814,122.9578664451008,40,2,2,0,0
59,82,10,71,2.2579162475501757,2.271867828244118,104.64064521591365,122.9578664451008,41,2,2,0,0
60,82,10,69,2.2579162475501757,2.271867828244118,104.64064521591365,122.9578664451008,41,2,2,0,0
61,82,10,70,2.2579162475501757,2.271867828244118,104.64064521591365,122.9578664451008,41,2,2,0,0
62,82,10,70,2.2579162475501757,2.271867828244118,104.64064521591365,122.9578664451008,41,2,2,0,0
63,82,10,70,2.2579162475501757,2.271867828244118,104.64064521591365,122.9578664451008,41,2,2,0,0
64,82,10,69,2.2579162475501757,2.271867828244118,104.64064521591365,122.9578664451008,41,2,2,0,0
65,82,10,69,2.2579162475501757,2.271867828244118,104.64064521591365,122.9578664451008,41,2,2,0,0
66,82,10,69,2.2579162475501757,2.271867828244118,104.64064521591365,122.9578664451008,41,2,2,0,0
67,82,10,69,2.2579162475501757,2.271867828244118,104.64064521591365,122.9578664451008,41,2,2,0,0
68,82,10,69,2.2579162475501757,2.271867828244118,104.64064521591365,122.9578664451008,41,2,2,0,0
69,82,10,68,2.2579162475501757,2.271867828244118,104.64064521591365,122.9578664451008,41,2,2,0,0
70,82,10,67,2.2579162475501757,2.271867828244118,104.64064521591365,122.9578664451008,41,2,2,0,0
71,82,10,67,2.2579162475501757,2.271867828244118,104.64064521591365,122.9578664451008,41,2,2,0,0
72,82,10,65,2.2579162475501757,2.271867828244118,104.64064521591365,122.9578664451008,41,2,2,0,0
73,82,10,64,2.2579162475501757,2.271867828244118,104.64064521591365,122.9578664451008,41,2,2,0,0
74,82,10,64,2.2579162475501757,2.271867828244118,104.64064521591365,122.9578664451008,41,2,2,0,0
75,82,10,64,2.2579162475501757,2.271867828244118,104.64064521591365,122.9578664451008,41,2,2,0,0
76,82,10,64,2.2579162475501757,2.271867828244118,104.64064521591365,122.9578664451008,41,2,2,0,0
77,82,10,64,2.2579162475501757,2.271867828244118,104.64064521591365,122.9578664451008,41,2,2,0,0
78,82,10,63,2.2579162475501757,2.271867828244118,104.64064521591365,122.9578664451008,41,2,2,0,0
79,105,10,62,2.29264411883432,2.271867828244118,104.89247722254962,122.9578664451008,64,2,2,0,0
80,106,10,61,2.2982511959924095,2.271867828244118,104.99302646117141,122.9578664451008,65,2,2,0,0
81,107,10,61,2.307313012817411,2.271867828244118,104.5198393507841,122.9578664451008,66,2,2,0,0
82,110,10,62,2.32220902670167,2.271867828244118,103.73405865448514,122.9578664451008,69,2,2,0,0
83,110,10,62,2.32220902670167,2.271867828244118,103.73405865448514,122.9578664451008,69,2,2,0,0
84,110,10,61,2.32220902670167,2.271867828244118,103.73405865448514,122.9578664451008,69,2,2,0,0
85,110,10,61,2.32220902670167,2.271867828244118,103.73405865448514,122.9578664451008,69,2,2,0,0
86,111,10,61,2.325346155491754,2.271867828244118,103.93201764728562,122.9578664451008,70,2,2,0,0
87,112,10,61,2.3230924201499206,2.271867828244118,104.14386695293736,122.9578664451008,71,2,2,0,0
88,112,10,61,2.3230924201499206,2.271867828244118,104.14386695293736,122.9578664451008,71,2,2,0,0
89,112,10,61,2.3230924201499206,2.271867828244118,104.14386695293736,122.9578664451008,71,2,2,0,0
90,113,10,61,2.324222417662401,2.271867828244118,103.8791487466896,122.9578664451008,72,2,2,0,0
91,113,10,61,2.324222417662401,2.271867828244118,103.8791487466896,122.9578664451008,72,2,2,0,0
92,113,10,61,2.324222417662401,2.271867828244118,103.8791487466896,122.9578664451008,72,2,2,0,0
93,114,10,60,2.3159676601622317,2.271867828244118,104.09608054826975,122.9578664451008,73,2,2,0,0
94,114,10,60,2.3159676601622317,2.271867828244118,104.09608054826975,122.9578664451008,73,2,2,0,0
95,114,10,60,2.3159676601622317,2.271867828244118,104.09608054826975,122.9578664451008,73,2,2,0,0
96,114,10,59,2.3159676601622317,2.271867828244118,104.09608054826975,122.9578664451008,73,2,2,0,0
97,114,10,59,2.3159676601622317,2.271867828244118,104.09608054826975,122.9578664451008,73,2,2,0,0
98,114,10,59,2.3159676601622317,2.271867828244118,104.09608054826975,122.9578664451008,73,2,2,0,0
99,114,10,58,2.3159676601622317,2.271867828244118,104.09608054826975,122.9578664451008,73,2,2,0,0
100,114,10,58,2.3159676601622317,2.271867828244118,104.09608054826975,122.9578664451008,73,2,2,0,0
101,114,10,59,2.3159676601622317,2.271867828244118,104.09608054826975,122.9578664451008,73,2,2,0,0
102,114,10,60,2.3159676601622317,2.271867828244118,104.09608054826975,122.9578664451008,73,2,2,0,0
103,114,10,60,2.3159676601622317,2.271867828244118,104.09608054826975,122.9578664451008,73,2,2,0,0
104,114,10,58,2.3159676601622317,2.271867828244118,104.09608054826975,122.9578664451008,73,2,2,0,0
105,115,10,57,2.313949302371593,2.271867828244118,103.76614083026928,122.9578664451008,74,2,2,0,0
106,115,10,57,2.313949302371593,2.271867828244118,103.76614083026928,122.9578664451008,74,2,2,0,0
107,115,10,57,2.313949302371593,2.271867828244118,103.76614083026928,122.9578664451008,74,2,2,0,0
108,115,10,58,2.313949302371593,2.271867828244118,103.76614083026928,122.9578664451008,74,2,2,0,0
109,115,10,58,2.313949302371593,2.271867828244118,103.76614083026928,122.9578664451008,74,2,2,0,0
110,115,10,58,2.313949302371593,2.271867828244118,103.76614083026928,122.9578664451008,74,2,2,0,0
111,115,10,59,2.313949302371593,2.271867828244118,103.76614083026928,122.9578664451008,74,2,2,0,0
112,116,10,58,2.3158013442076197,2.271867828244118,103.900057903085,122.9578664451008,75,2,2,0,0
