tick,prey_population,predator_population,resource_count,avg_prey_speed,avg_predator_speed,avg_prey_vision,avg_predator_vision,births_total,deaths_total,predation_total,prey_extinct,predators_extinct
1,60,23,125,2.38075490637056,2.207589698317606,102.77303494531576,123.24095352138072,19,0,0,0,0
2,61,23,125,2.3878854071512814,2.207589698317606,102.22530104335493,123.24095352138072,20,0,0,0,0
3,62,23,124,2.3791083334650276,2.207589698317606,102.89447944099396,123.24095352138072,21,0,0,0,0
4,63,23,124,2.3834444309281806,2.207589698317606,103.60448953841703,123.24095352138072,22,0,0,0,0
5,64,23,125,2.3916232521816103,2.207589698317606,103.38629952140889,123.24095352138072,23,0,0,0,0
6,64,23,125,2.3916232521816103,2.207589698317606,103.38629952140889,123.24095352138072,23,0,0,0,0
7,64,23,124,2.3916232521816103,2.207589698317606,103.38629952140889,123.24095352138072,23,0,0,0,0
8,65,23,123,2.390080749359496,2.207589698317606,103.62746374358458,123.24095352138072,24,0,0,0,0
9,65,23,122,2.390080749359496,2.207589698317606,103.62746374358458,123.24095352138072,24,0,0,0,0
10,66,23,122,2.394747100653456,2.207589698317606,103.79931276156144,123.24095352138072,25,0,0,0,0
11,67,23,120,2.402706265768109,2.207589698317606,103.28760083586059,123.24095352138072,26,0,0,0,0
12,67,23,119,2.402706265768109,2.207589698317606,103.28760083586059,123.24095352138072,26,0,0,0,0
13,70,23,118,2.409394327811592,2.207589698317606,103.7705053200114,123.24095352138072,29,0,0,0,0
14,71,23,115,2.4210778684807437,2.207589698317606,104.21866598819061,123.24095352138072,30,0,0,0,0
15,72,23,114,2.423774596623589,2.207589698317606,104.34666272925637,123.24095352138072,31,0,0,0,0
16,72,23,113,2.423774596623589,2.207589698317606,104.34666272925637,123.24095352138072,31,0,0,0,0
17,72,24,113,2.423774596623589,2.2329899206178534,104.34666272925637,123.3951658643424,32,0,0,0,0
18,72,24,113,2.423774596623589,2.2329899206178534,104.34666272925637,123.3951658643424,32,0,0,0,0
19,72,24,112,2.423774596623589,2.2329899206178534,104.34666272925637,123.3951658643424,32,0,0,0,0
20,73,24,109,2.4271120698707427,2.2329899206178534,104.49434301514061,123.3951658643424,33,0,0,0,0
21,73,24,108,2.4271120698707427,2.2329899206178534,104.49434301514061,123.3951658643424,33,0,0,0,0
22,73,24,107,2.4271120698707427,2.2329899206178534,104.49434301514061,123.3951658643424,33,0,0,0,0
23,73,24,108,2.4271120698707427,2.2329899206178534,104.49434301514061,123.3951658643424,33,0,0,0,0
24,73,24,106,2.4271120698707427,2.2329899206178534,104.49434301514061,123.3951658643424,33,0,0,0,0
25,74,24,106,2.4328439059821942,2.2329899206178534,104.3126675419541,123.3951658643424,34,0,0,0,0
26,74,24,105,2.4328439059821942,2.2329899206178534,104.3126675419541,123.3951658643424,34,0,0,0,0
27,74,24,105,2.4328439059821942,2.2329899206178534,104.3126675419541,123.3951658643424,34,0,0,0,0
28,74,24,105,2.4328439059821942,2.2329899206178534,104.3126675419541,123.3951658643424,34,0,0,0,0
29,74,24,105,2.4328439059821942,2.2329899206178534,104.3126675419541,123.3951658643424,34,0,0,0,0
30,74,24,105,2.4328439059821942,2.2329899206178534,104.3126675419541,123.3951658643424,34,0,0,0,0
31,74,24,106,2.4328439059821942,2.2329899206178534,104.3126675419541,123.3951658643424,34,0,0,0,0
32,74,24,105,2.4328439059821942,2.2329899206178534,104.3126675419541,123.3951658643424,34,0,0,0,0
33,74,24,105,2.4328439059821942,2.2329899206178534,104.3126675419541,123.3951658643424,34,0,0,0,0
34,75,24,105,2.43455783227684,2.2329899206178534,104.76421659890549,123.3951658643424,35,0,0,0,0
35,75,24,105,2.43455783227684,2.2329899206178534,104.76421659890549,123.3951658643424,35,0,0,0,0
36,76,24,105,2.421275415762439,2.2329899206178534,104.17744014365218,123.3951658643424,36,0,0,0,0
37,77,24,105,2.4278540208455093,2.2329899206178534,104.40052323551079,123.3951658643424,37,0,0,0,0
38,77,24,106,2.4278540208455093,2.2329899206178534,104.40052323551079,123.3951658643424,37,0,0,0,0
39,77,24,105,2.4278540208455093,2.2329899206178534,104.40052323551079,123.3951658643424,37,0,0,0,0
40,77,24,105,2.4278540208455093,2.2329899206178534,104.40052323551079,123.3951658643424,37,0,0,0,0
41,77,24,106,2.4278540208455093,2.2329899206178534,104.40052323551079,123.3951658643424,37,0,0,0,0
42,77,24,106,2.4278540208455093,2.2329899206178534,104.40052323551079,123.3951658643424,37,0,0,0,0
43,77,24,106,2.4278540208455093,2.2329899206178534,104.40052323551079,123.3951658643424,37,0,0,0,0
44,77,24,105,2.4278540208455093,2.2329899206178534,104.40052323551079,123.3951658643424,37,0,0,0,0
45,76,24,104,2.4419495611465436,2.2329899206178534,104.60287652025097,123.3951658643424,37,1,1,0,0
46,76,24,104,2.4419495611465436,2.2329899206178534,104.60287652025097,123.3951658643424,37,1,1,0,0
47,76,24,102,2.4419495611465436,2.2329899206178534,104.60287652025097,123.3951658643424,37,1,1,0,0
48,76,24,102,2.4419495611465436,2.2329899206178534,104.60287652025097,123.3951658643424,37,1,1,0,0
