tick,prey_population,predator_population,resource_count,avg_prey_speed,avg_predator_speed,avg_prey_vision,avg_predator_vision,births_total,deaths_total,predation_total,prey_extinct,predators_extinct
1,50,21,125,2.3063682572666035,1.9711971791137994,107.38999349267863,108.7435987160545,7,0,0,0,0
2,51,21,126,2.313336101246786,1.9711971791137994,108.07522269847021,108.7435987160545,8,0,0,0,0
3,51,21,125,2.313336101246786,1.9711971791137994,108.07522269847021,108.7435987160545,8,0,0,0,0
4,51,21,125,2.313336101246786,1.9711971791137994,108.07522269847021,108.7435987160545,8,0,0,0,0
5,51,21,126,2.313336101246786,1.9711971791137994,108.07522269847021,108.7435987160545,8,0,0,0,0
6,51,21,126,2.313336101246786,1.9711971791137994,108.07522269847021,108.7435987160545,8,0,0,0,0
7,51,21,126,2.313336101246786,1.9711971791137994,108.07522269847021,108.7435987160545,8,0,0,0,0
8,51,21,127,2.313336101246786,1.9711971791137994,108.07522269847021,108.7435987160545,8,0,0,0,0
9,51,21,127,2.313336101246786,1.9711971791137994,108.07522269847021,108.7435987160545,8,0,0,0,0
10,53,21,128,2.309755203036936,1.9711971791137994,108.39344186209232,108.7435987160545,10,0,0,0,0
11,53,21,128,2.309755203036936,1.9711971791137994,108.39344186209232,108.7435987160545,10,0,0,0,0
12,53,21,127,2.309755203036936,1.9711971791137994,108.39344186209232,108.7435987160545,10,0,0,0,0
13,53,21,128,2.309755203036936,1.9711971791137994,108.39344186209232,108.7435987160545,10,0,0,0,0
14,52,22,128,2.325190102377355,1.9722821227659344,107.84387374609861,109.04631255570435,11,1,1,0,0
15,52,22,128,2.325190102377355,1.9722821227659344,107.84387374609861,109.04631255570435,11,1,1,0,0
16,52,22,128,2.325190102377355,1.9722821227659344,107.84387374609861,109.04631255570435,11,1,1,0,0
17,52,22,128,2.325190102377355,1.9722821227659344,107.84387374609861,109.04631255570435,11,1,1,0,0
18,52,22,128,2.325190102377355,1.9722821227659344,107.84387374609861,109.04631255570435,11,1,1,0,0
19,52,22,128,2.325190102377355,1.9722821227659344,107.84387374609861,109.04631255570435,11,1,1,0,0
20,52,22,128,2.325190102377355,1.9722821227659344,107.84387374609861,109.04631255570435,11,1,1,0,0
21,52,22,129,2.325190102377355,1.9722821227659344,107.84387374609861,109.04631255570435,11,1,1,0,0
22,52,22,130,2.325190102377355,1.9722821227659344,107.84387374609861,109.04631255570435,11,1,1,0,0
23,52,22,130,2.325190102377355,1.9722821227659344,107.84387374609861,109.04631255570435,11,1,1,0,0
24,52,22,130,2.325190102377355,1.9722821227659344,107.84387374609861,109.04631255570435,11,1,1,0,0
25,53,22,129,2.3192585347465644,1.9722821227659344,108.17706122615088,109.04631255570435,12,1,1,0,0
26,53,22,129,2.3192585347465644,1.9722821227659344,108.17706122615088,109.04631255570435,12,1,1,0,0
27,53,22,129,2.3192585347465644,1.9722821227659344,108.17706122615088,109.04631255570435,12,1,1,0,0
28,53,22,129,2.3192585347465644,1.9722821227659344,108.17706122615088,109.04631255570435,12,1,1,0,0
29,53,22,129,2.3192585347465644,1.9722821227659344,108.17706122615088,109.04631255570435,12,1,1,0,0
30,53,22,129,2.3192585347465644,1.9722821227659344,108.17706122615088,109.04631255570435,12,1,1,0,0
31,53,22,129,2.3192585347465644,1.9722821227659344,108.17706122615088,109.04631255570435,12,1,1,0,0
32,53,22,130,2.3192585347465644,1.9722821227659344,108.17706122615088,109.04631255570435,12,1,1,0,0
33,53,22,131,2.3192585347465644,1.9722821227659344,108.17706122615088,109.04631255570435,12,1,1,0,0
34,53,22,131,2.3192585347465644,1.9722821227659344,108.17706122615088,109.04631255570435,12,1,1,0,0
35,53,22,131,2.3192585347465644,1.9722821227659344,108.17706122615088,109.04631255570435,12,1,1,0,0
36,53,22,131,2.3192585347465644,1.9722821227659344,108.17706122615088,109.04631255570435,12,1,1,0,0
37,53,22,130,2.3192585347465644,1.9722821227659344,108.17706122615088,109.04631255570435,12,1,1,0,0
38,53,22,131,2.3192585347465644,1.9722821227659344,108.17706122615088,109.04631255570435,12,1,1,0,0
39,53,22,131,2.3192585347465644,1.9722821227659344,108.17706122615088,109.04631255570435,12,1,1,0,0
40,53,22,131,2.3192585347465644,1.9722821227659344,108.17706122615088,109.04631255570435,12,1,1,0,0
41,53,22,131,2.3192585347465644,1.9722821227659344,108.17706122615088,109.04631255570435,12,1,1,0,0
42,53,22,132,2.3192585347465644,1.9722821227659344,108.17706122615088,109.04631255570435,12,1,1,0,0
43,53,22,132,2.3192585347465644,1.9722821227659344,108.17706122615088,109.04631255570435,12,1,1,0,0
44,53,22,131,2.3192585347465644,1.9722821227659344,108.17706122615088,109.04631255570435,12,1,1,0,0
45,53,22,132,2.3192585347465644,1.9722821227659344,108.17706122615088,109.04631255570435,12,1,1,0,0
46,53,22,132,2.3192585347465644,1.9722821227659344,108.17706122615088,109.04631255570435,12,1,1,0,0
47,53,22,133,2.3192585347465644,1.9722821227659344,108.17706122615088,109.04631255570435,12,1,1,0,0
48,53,22,133,2.3192585347465644,1.9722821227659344,108.17706122615088,109.04631255570435,12,1,1,0,0
49,53,22,132,2.3192585347465644,1.9722821227659344,108.17706122615088,109.04631255570435,12,1,1,0,0
50,53,22,132,2.3192585347465644,1.9722821227659344,108.17706122615088,109.04631255570435,12,1,1,0,0
51,53,22,132,2.3192585347465644,1.9722821227659344,108.17706122615088,109.04631255570435,12,1,1,0,0
52,53,22,132,2.3192585347465644,1.9722821227659344,108.17706122615088,109.04631255570435,12,1,1,0,0
53,53,22,132,2.3192585347465644,1.9722821227659344,108.17706122615088,109.04631255570435,12,1,1,0,0
54,53,22,133,2.3192585347465644,1.9722821227659344,108.17706122615088,109.04631255570435,12,1,1,0,0
55,53,22,133,2.3192585347465644,1.9722821227659344,108.17706122615088,109.04631255570435,12,1,1,0,0
56,53,22,134,2.3192585347465644,1.9722821227659344,108.17706122615088,109.04631255570435,12,1,1,0,0
57,53,22,134,2.3192585347465644,1.9722821227659344,108.17706122615088,109.04631255570435,12,1,1,0,0
58,53,22,134,2.3192585347465644,1.9722821227659344,108.17706122615088,109.04631255570435,12,1,1,0,0
59,53,22,134,2.3192585347465644,1.9722821227659344,108.17706122615088,109.04631255570435,12,1,1,0,0
60,53,22,134,2.3192585347465644,1.9722821227659344,108.17706122615088,109.04631255570435,12,1,1,0,0
61,53,22,134,2.3192585347465644,1.9722821227659344,108.17706122615088,109.04631255570435,12,1,1,0,0
62,53,22,134,2.3192585347465644,1.9722821227659344,108.17706122615088,109.04631255570435,12,1,1,0,0
63,53,22,133,2.3192585347465644,1.9722821227659344,108.17706122615088,109.04631255570435,12,1,1,0,0
64,53,22,132,2.3192585347465644,1.9722821227659344,108.17706122615088,109.04631255570435,12,1,1,0,0
65,53,22,132,2.3192585347465644,1.9722821227659344,108.17706122615088,109.04631255570435,12,1,1,0,0
66,53,22,133,2.3192585347465644,1.9722821227659344,108.17706122615088,109.04631255570435,12,1,1,0,0
67,53,22,133,2.3192585347465644,1.9722821227659344,108.17706122615088,109.04631255570435,12,1,1,0,0
68,53,22,133,2.3192585347465644,1.9722821227659344,108.17706122615088,109.04631255570435,12,1,1,0,0
69,54,22,134,2.312517701103749,1.9722821227659344,108.30745549747066,109.04631255570435,13,1,1,0,0
70,54,22,134,2.312517701103749,1.9722821227659344,108.30745549747066,109.04631255570435,13,1,1,0,0
71,54,22,134,2.312517701103749,1.9722821227659344,108.30745549747066,109.04631255570435,13,1,1,0,0
72,54,22,134,2.312517701103749,1.9722821227659344,108.30745549747066,109.04631255570435,13,1,1,0,0
73,54,22,134,2.312517701103749,1.9722821227659344,108.30745549747066,109.04631255570435,13,1,1,0,0
74,54,22,134,2.312517701103749,1.9722821227659344,108.30745549747066,109.04631255570435,13,1,1,0,0
75,54,22,133,2.312517701103749,1.9722821227659344,108.30745549747066,109.04631255570435,13,1,1,0,0
76,54,22,133,2.312517701103749,1.9722821227659344,108.30745549747066,109.04631255570435,13,1,1,0,0
77,54,22,133,2.312517701103749,1.9722821227659344,108.30745549747066,109.04631255570435,13,1,1,0,0
78,54,22,133,2.312517701103749,1.9722821227659344,108.30745549747066,109.04631255570435,13,1,1,0,0
79,54,22,133,2.312517701103749,1.9722821227659344,108.30745549747066,109.04631255570435,13,1,1,0,0
80,54,22,134,2.312517701103749,1.9722821227659344,108.30745549747066,109.04631255570435,13,1,1,0,0
81,54,22,133,2.312517701103749,1.9722821227659344,108.30745549747066,109.04631255570435,13,1,1,0,0
82,54,22,133,2.312517701103749,1.9722821227659344,108.30745549747066,109.04631255570435,13,1,1,0,0
83,54,22,133,2.312517701103749,1.9722821227659344,108.30745549747066,109.04631255570435,13,1,1,0,0
84,54,22,132,2.312517701103749,1.9722821227659344,108.30745549747066,109.04631255570435,13,1,1,0,0
85,54,22,132,2.312517701103749,1.9722821227659344,108.30745549747066,109.04631255570435,13,1,1,0,0
86,54,22,133,2.312517701103749,1.9722821227659344,108.30745549747066,109.04631255570435,13,1,1,0,0
87,54,22,133,2.312517701103749,1.9722821227659344,108.30745549747066,109.04631255570435,13,1,1,0,0
88,56,22,132,2.3291252154365156,1.9722821227659344,107.89671627141469,109.04631255570435,15,1,1,0,0
89,56,22,132,2.3291252154365156,1.9722821227659344,107.89671627141469,109.04631255570435,15,1,1,0,0
90,56,22,132,2.3291252154365156,1.9722821227659344,107.89671627141469,109.04631255570435,15,1,1,0,0
91,56,22,133,2.3291252154365156,1.9722821227659344,107.89671627141469,109.04631255570435,15,1,1,0,0
92,56,22,133,2.3291252154365156,1.9722821227659344,107.89671627141469,109.04631255570435,15,1,1,0,0
93,56,22,134,2.3291252154365156,1.9722821227659344,107.89671627141469,109.04631255570435,15,1,1,0,0
94,56,22,134,2.3291252154365156,1.9722821227659344,107.89671627141469,109.04631255570435,15,1,1,0,0
95,55,22,135,2.313156642033655,1.9722821227659344,108.29662714764409,109.04631255570435,15,2,2,0,0
96,55,22,135,2.313156642033655,1.9722821227659344,108.29662714764409,109.04631255570435,15,2,2,0,0
97,55,22,136,2.313156642033655,1.9722821227659344,108.29662714764409,109.04631255570435,15,2,2,0,0
98,55,22,136,2.313156642033655,1.9722821227659344,108.29662714764409,109.04631255570435,15,2,2,0,0
99,55,22,136,2.313156642033655,1.9722821227659344,108.29662714764409,109.04631255570435,15,2,2,0,0
100,55,22,137,2.313156642033655,1.9722821227659344,108.29662714764409,109.04631255570435,15,2,2,0,0
101,55,22,137,2.313156642033655,1.9722821227659344,108.29662714764409,109.04631255570435,15,2,2,0,0
