tick,prey_population,predator_population,resource_count,avg_prey_speed,avg_predator_speed,avg_prey_vision,avg_predator_vision,births_total,deaths_total,predation_total,prey_extinct,predators_extinct
1,53,19,126,2.3721305901946828,2.1974215039913685,103.56116698508934,125.50787246479017,8,0,0,0,0
2,54,19,126,2.383110078172247,2.1974215039913685,103.4537353516851,125.50787246479017,9,0,0,0,0
3,54,19,126,2.383110078172247,2.1974215039913685,103.4537353516851,125.50787246479017,9,0,0,0,0
4,54,19,126,2.383110078172247,2.1974215039913685,103.4537353516851,125.50787246479017,9,0,0,0,0
5,54,19,126,2.383110078172247,2.1974215039913685,103.4537353516851,125.50787246479017,9,0,0,0,0
6,54,19,126,2.383110078172247,2.1974215039913685,103.4537353516851,125.50787246479017,9,0,0,0,0
7,54,19,126,2.383110078172247,2.1974215039913685,103.4537353516851,125.50787246479017,9,0,0,0,0
8,54,19,125,2.383110078172247,2.1974215039913685,103.4537353516851,125.50787246479017,9,0,0,0,0
9,54,19,126,2.383110078172247,2.1974215039913685,103.4537353516851,125.50787246479017,9,0,0,0,0
10,54,19,126,2.383110078172247,2.1974215039913685,103.4537353516851,125.50787246479017,9,0,0,0,0
11,54,19,125,2.383110078172247,2.1974215039913685,103.4537353516851,125.50787246479017,9,0,0,0,0
12,54,19,125,2.383110078172247,2.1974215039913685,103.4537353516851,125.50787246479017,9,0,0,0,0
13,54,19,125,2.383110078172247,2.1974215039913685,103.4537353516851,125.50787246479017,9,0,0,0,0
14,54,19,125,2.383110078172247,2.1974215039913685,103.4537353516851,125.50787246479017,9,0,0,0,0
15,54,19,125,2.383110078172247,2.1974215039913685,103.4537353516851,125.50787246479017,9,0,0,0,0
16,54,19,126,2.383110078172247,2.1974215039913685,103.4537353516851,125.50787246479017,9,0,0,0,0
17,54,19,125,2.383110078172247,2.1974215039913685,103.4537353516851,125.50787246479017,9,0,0,0,0
18,53,19,125,2.377167628047934,2.1974215039913685,103.23645679360258,125.50787246479017,9,1,1,0,0
19,53,19,125,2.377167628047934,2.1974215039913685,103.23645679360258,125.50787246479017,9,1,1,0,0
20,53,19,126,2.377167628047934,2.1974215039913685,103.23645679360258,125.50787246479017,9,1,1,0,0
21,53,19,126,2.377167628047934,2.1974215039913685,103.23645679360258,125.50787246479017,9,1,1,0,0
22,53,19,125,2.377167628047934,2.1974215039913685,103.23645679360258,125.50787246479017,9,1,1,0,0
23,53,19,125,2.377167628047934,2.1974215039913685,103.23645679360258,125.50787246479017,9,1,1,0,0
24,53,19,125,2.377167628047934,2.1974215039913685,103.23645679360258,125.50787246479017,9,1,1,0,0
25,53,19,125,2.377167628047934,2.1974215039913685,103.23645679360258,125.50787246479017,9,1,1,0,0
26,53,19,125,2.377167628047934,2.1974215039913685,103.23645679360258,125.50787246479017,9,1,1,0,0
27,53,19,126,2.377167628047934,2.1974215039913685,103.23645679360258,125.50787246479017,9,1,1,0,0
28,53,19,126,2.377167628047934,2.1974215039913685,103.23645679360258,125.50787246479017,9,1,1,0,0
29,53,19,126,2.377167628047934,2.1974215039913685,103.23645679360258,125.50787246479017,9,1,1,0,0
30,53,19,126,2.377167628047934,2.1974215039913685,103.23645679360258,125.50787246479017,9,1,1,0,0
31,53,19,126,2.377167628047934,2.1974215039913685,103.23645679360258,125.50787246479017,9,1,1,0,0
32,53,19,126,2.377167628047934,2.1974215039913685,103.23645679360258,125.50787246479017,9,1,1,0,0
33,53,19,125,2.377167628047934,2.1974215039913685,103.23645679360258,125.50787246479017,9,1,1,0,0
34,53,19,125,2.377167628047934,2.1974215039913685,103.23645679360258,125.50787246479017,9,1,1,0,0
35,53,19,125,2.377167628047934,2.1974215039913685,103.23645679360258,125.50787246479017,9,1,1,0,0
36,52,19,125,2.392569156835458,2.1974215039913685,103.28703293059401,125.50787246479017,9,2,2,0,0
37,52,19,124,2.392569156835458,2.1974215039913685,103.28703293059401,125.50787246479017,9,2,2,0,0
38,52,19,124,2.392569156835458,2.1974215039913685,103.28703293059401,125.50787246479017,9,2,2,0,0
39,52,19,124,2.392569156835458,2.1974215039913685,103.28703293059401,125.50787246479017,9,2,2,0,0
40,52,19,123,2.392569156835458,2.1974215039913685,103.28703293059401,125.50787246479017,9,2,2,0,0
41,52,19,123,2.392569156835458,2.1974215039913685,103.28703293059401,125.50787246479017,9,2,2,0,0
42,52,19,123,2.392569156835458,2.1974215039913685,103.28703293059401,125.50787246479017,9,2,2,0,0
43,52,19,123,2.392569156835458,2.1974215039913685,103.28703293059401,125.50787246479017,9,2,2,0,0
44,52,19,123,2.392569156835458,2.1974215039913685,103.28703293059401,125.50787246479017,9,2,2,0,0
45,52,19,123,2.392569156835458,2.1974215039913685,103.28703293059401,125.50787246479017,9,2,2,0,0
46,52,19,123,2.392569156835458,2.1974215039913685,103.28703293059401,125.50787246479017,9,2,2,0,0
47,52,19,122,2.392569156835458,2.1974215039913685,103.28703293059401,125.50787246479017,9,2,2,0,0
48,52,19,123,2.392569156835458,2.1974215039913685,103.28703293059401,125.50787246479017,9,2,2,0,0
49,52,19,122,2.392569156835458,2.1974215039913685,103.28703293059401,125.50787246479017,9,2,2,0,0
50,52,19,122,2.392569156835458,2.1974215039913685,103.28703293059401,125.50787246479017,9,2,2,0,0
51,52,19,122,2.392569156835458,2.1974215039913685,103.28703293059401,125.50787246479017,9,2,2,0,0
52,52,19,122,2.392569156835458,2.1974215039913685,103.28703293059401,125.50787246479017,9,2,2,0,0
53,52,19,122,2.392569156835458,2.1974215039913685,103.28703293059401,125.50787246479017,9,2,2,0,0
54,52,19,122,2.392569156835458,2.1974215039913685,103.28703293059401,125.50787246479017,9,2,2,0,0
55,52,19,122,2.392569156835458,2.1974215039913685,103.28703293059401,125.50787246479017,9,2,2,0,0
56,52,19,122,2.392569156835458,2.1974215039913685,103.28703293059401,125.50787246479017,9,2,2,0,0
57,52,19,122,2.392569156835458,2.1974215039913685,103.28703293059401,125.50787246479017,9,2,2,0,0
58,52,19,122,2.392569156835458,2.1974215039913685,103.28703293059401,125.50787246479017,9,2,2,0,0
59,52,19,123,2.392569156835458,2.1974215039913685,103.28703293059401,125.50787246479017,9,2,2,0,0
60,52,19,123,2.392569156835458,2.1974215039913685,103.28703293059401,125.50787246479017,9,2,2,0,0
61,52,19,124,2.392569156835458,2.1974215039913685,103.28703293059401,125.50787246479017,9,2,2,0,0
