tick,prey_population,predator_population,resource_count,avg_prey_speed,avg_predator_speed,avg_prey_vision,avg_predator_vision,births_total,deaths_total,predation_total,prey_extinct,predators_extinct
1,61,24,124,2.336503758341885,1.9056377882228916,105.07286473574942,110.54816850592601,21,0,0,0,0
2,64,24,124,2.3124548600886596,1.9056377882228916,105.3992219239882,110.54816850592601,24,0,0,0,0
3,64,24,124,2.3124548600886596,1.9056377882228916,105.3992219239882,110.54816850592601,24,0,0,0,0
4,64,24,122,2.3124548600886596,1.9056377882228916,105.3992219239882,110.54816850592601,24,0,0,0,0
5,64,24,122,2.3124548600886596,1.9056377882228916,105.3992219239882,110.54816850592601,24,0,0,0,0
6,65,24,122,2.308150412669362,1.9056377882228916,105.7898894841854,110.54816850592601,25,0,0,0,0
7,65,24,122,2.308150412669362,1.9056377882228916,105.7898894841854,110.54816850592601,25,0,0,0,0
8,65,24,119,2.308150412669362,1.9056377882228916,105.7898894841854,110.54816850592601,25,0,0,0,0
9,65,24,116,2.308150412669362,1.9056377882228916,105.7898894841854,110.54816850592601,25,0,0,0,0
10,66,25,112,2.3162591869309903,1.938034276416275,105.74006901792707,109.1701147284837,27,0,0,0,0
11,68,25,112,2.328144389942675,1.938034276416275,105.305716698789,109.1701147284837,29,0,0,0,0
12,68,25,112,2.328144389942675,1.938034276416275,105.305716698789,109.1701147284837,29,0,0,0,0
13,68,25,112,2.328144389942675,1.938034276416275,105.305716698789,109.1701147284837,29,0,0,0,0
14,68,25,109,2.328144389942675,1.938034276416275,105.305716698789,109.1701147284837,29,0,0,0,0
15,68,25,109,2.328144389942675,1.938034276416275,105.305716698789,109.1701147284837,29,0,0,0,0
16,68,25,109,2.328144389942675,1.938034276416275,105.305716698789,109.1701147284837,29,0,0,0,0
17,68,25,107,2.328144389942675,1.938034276416275,105.305716698789,109.1701147284837,29,0,0,0,0
18,68,25,107,2.328144389942675,1.938034276416275,105.305716698789,109.1701147284837,29,0,0,0,0
19,68,25,107,2.328144389942675,1.938034276416275,105.305716698789,109.1701147284837,29,0,0,0,0
20,68,26,105,2.345369190669679,1.9396758439255244,104.26503171222555,109.76322791999505,31,1,1,0,0
21,69,27,103,2.3358964400725997,1.9088955902064721,104.86277996028394,110.02712726991292,33,1,1,0,0
22,69,27,101,2.3358964400725997,1.9088955902064721,104.86277996028394,110.02712726991292,33,1,1,0,0
23,69,27,101,2.3358964400725997,1.9088955902064721,104.86277996028394,110.02712726991292,33,1,1,0,0
24,69,27,100,2.3358964400725997,1.9088955902064721,104.86277996028394,110.02712726991292,33,1,1,0,0
25,70,27,100,2.3390174451470855,1.9088955902064721,104.34215002125043,110.02712726991292,34,1,1,0,0
26,70,27,100,2.3390174451470855,1.9088955902064721,104.34215002125043,110.02712726991292,34,1,1,0,0
27,70,27,98,2.3390174451470855,1.9088955902064721,104.34215002125043,110.02712726991292,34,1,1,0,0
28,71,27,98,2.3320835065295125,1.9088955902064721,104.45504650131844,110.02712726991292,35,1,1,0,0
29,71,27,97,2.3320835065295125,1.9088955902064721,104.45504650131844,110.02712726991292,35,1,1,0,0
30,72,27,97,2.3199860511260595,1.9088955902064721,104.39671856581009,110.02712726991292,36,1,1,0,0
31,72,27,96,2.3199860511260595,1.9088955902064721,104.39671856581009,110.02712726991292,36,1,1,0,0
32,73,27,94,2.318482176047973,1.9088955902064721,103.8689612299512,110.02712726991292,37,1,1,0,0
33,74,27,94,2.3221983598156193,1.9088955902064721,104.36545145470987,110.02712726991292,38,1,1,0,0
34,74,27,94,2.3221983598156193,1.9088955902064721,104.36545145470987,110.02712726991292,38,1,1,0,0
35,74,27,94,2.3221983598156193,1.9088955902064721,104.36545145470987,110.02712726991292,38,1,1,0,0
36,74,27,93,2.3221983598156193,1.9088955902064721,104.36545145470987,110.02712726991292,38,1,1,0,0
37,76,27,93,2.336563907388667,1.9088955902064721,104.99576395598842,110.02712726991292,40,1,1,0,0
38,76,27,94,2.336563907388667,1.9088955902064721,104.99576395598842,110.02712726991292,40,1,1,0,0
39,76,27,93,2.336563907388667,1.9088955902064721,104.99576395598842,110.02712726991292,40,1,1,0,0
40,76,27,93,2.336563907388667,1.9088955902064721,104.99576395598842,110.02712726991292,40,1,1,0,0
41,77,27,90,2.3323334283049886,1.9088955902064721,104.99722221796554,110.02712726991292,41,1,1,0,0
42,77,27,88,2.3323334283049886,1.9088955902064721,104.99722221796554,110.02712726991292,41,1,1,0,0
43,78,27,88,2.337909167249294,1.9088955902064721,105.2299402846512,110.02712726991292,42,1,1,0,0
44,77,27,86,2.350026569918761,1.9088955902064721,104.92884207152957,110.02712726991292,42,2,2,0,0
45,77,28,86,2.350026569918761,1.9506506384317868,104.92884207152957,109.30977362828021,43,2,2,0,0
46,77,28,85,2.350026569918761,1.9506506384317868,104.92884207152957,109.30977362828021,43,2,2,0,0
47,77,28,84,2.350026569918761,1.9506506384317868,104.92884207152957,109.30977362828021,43,2,2,0,0
