tick,prey_population,predator_population,resource_count,avg_prey_speed,avg_predator_speed,avg_prey_vision,avg_predator_vision,births_total,deaths_total,predation_total,prey_extinct,predators_extinct
1,65,9,38,2.287270279047006,1.682666962710658,106.28841573454088,112.57142673742202,21,0,0,0,0
2,65,9,38,2.287270279047006,1.682666962710658,106.28841573454088,112.57142673742202,21,0,0,0,0
3,65,9,38,2.287270279047006,1.682666962710658,106.28841573454088,112.57142673742202,21,0,0,0,0
4,65,9,37,2.287270279047006,1.682666962710658,106.28841573454088,112.57142673742202,21,0,0,0,0
5,66,9,37,2.2740032037409517,1.682666962710658,106.06831267644127,112.57142673742202,22,0,0,0,0
6,66,9,37,2.2740032037409517,1.682666962710658,106.06831267644127,112.57142673742202,22,0,0,0,0
7,66,9,37,2.2740032037409517,1.682666962710658,106.06831267644127,112.57142673742202,22,0,0,0,0
8,66,9,36,2.2740032037409517,1.682666962710658,106.06831267644127,112.57142673742202,22,0,0,0,0
9,66,10,34,2.2740032037409517,1.6605969887012813,106.06831267644127,110.40302030948928,23,0,0,0,0
10,66,10,33,2.2740032037409517,1.6605969887012813,106.06831267644127,110.40302030948928,23,0,0,0,0
11,66,10,34,2.2740032037409517,1.6605969887012813,106.06831267644127,110.40302030948928,23,0,0,0,0
12,66,10,34,2.2740032037409517,1.6605969887012813,106.06831267644127,110.40302030948928,23,0,0,0,0
13,67,10,34,2.2756122186710397,1.6605969887012813,106.53151051605462,110.40302030948928,24,0,0,0,0
14,67,10,35,2.2756122186710397,1.6605969887012813,106.53151051605462,110.40302030948928,24,0,0,0,0
15,68,10,34,2.2607213653250646,1.6605969887012813,106.96641481529531,110.40302030948928,25,0,0,0,0
16,70,10,34,2.259336062326136,1.6605969887012813,107.38858814620352,110.40302030948928,27,0,0,0,0
17,71,10,35,2.260961264481738,1.6605969887012813,107.77734902250356,110.40302030948928,28,0,0,0,0
18,71,10,35,2.260961264481738,1.6605969887012813,107.77734902250356,110.40302030948928,28,0,0,0,0
19,71,10,35,2.260961264481738,1.6605969887012813,107.77734902250356,110.40302030948928,28,0,0,0,0
20,71,10,35,2.260961264481738,1.6605969887012813,107.77734902250356,110.40302030948928,28,0,0,0,0
21,71,10,33,2.260961264481738,1.6605969887012813,107.77734902250356,110.40302030948928,28,0,0,0,0
22,72,10,31,2.2725031156921087,1.6605969887012813,108.27378383357485,110.40302030948928,29,0,0,0,0
23,73,10,31,2.264662968609612,1.6605969887012813,107.60702542218766,110.40302030948928,30,0,0,0,0
24,73,10,31,2.264662968609612,1.6605969887012813,107.60702542218766,110.40302030948928,30,0,0,0,0
25,73,10,30,2.264662968609612,1.6605969887012813,107.60702542218766,110.40302030948928,30,0,0,0,0
26,74,10,30,2.2790637375759717,1.6605969887012813,107.86925923748282,110.40302030948928,31,0,0,0,0
27,74,10,30,2.2790637375759717,1.6605969887012813,107.86925923748282,110.40302030948928,31,0,0,0,0
28,74,10,29,2.2790637375759717,1.6605969887012813,107.86925923748282,110.40302030948928,31,0,0,0,0
29,74,10,28,2.2790637375759717,1.6605969887012813,107.86925923748282,110.40302030948928,31,0,0,0,0
30,75,10,28,2.2808983557932563,1.6605969887012813,107.38519934603833,110.40302030948928,32,0,0,0,0
31,75,10,28,2.2808983557932563,1.6605969887012813,107.38519934603833,110.40302030948928,32,0,0,0,0
32,76,10,28,2.2879302951387586,1.6605969887012813,107.43113805177789,110.40302030948928,33,0,0,0,0
33,76,10,28,2.2879302951387586,1.6605969887012813,107.43113805177789,110.40302030948928,33,0,0,0,0
34,76,10,28,2.2879302951387586,1.6605969887012813,107.43113805177789,110.40302030948928,33,0,0,0,0
