tick,prey_population,predator_population,resource_count,avg_prey_speed,avg_predator_speed,avg_prey_vision,avg_predator_vision,births_total,deaths_total,predation_total,prey_extinct,predators_extinct
1,52,8,38,2.317290440401484,1.8076501173672987,106.99786845644257,126.10793610290705,7,0,0,0,0
2,52,8,38,2.317290440401484,1.8076501173672987,106.99786845644257,126.10793610290705,7,0,0,0,0
3,52,8,38,2.317290440401484,1.8076501173672987,106.99786845644257,126.10793610290705,7,0,0,0,0
4,52,8,38,2.317290440401484,1.8076501173672987,106.99786845644257,126.10793610290705,7,0,0,0,0
5,53,8,38,2.332570325730837,1.8076501173672987,107.41908433268553,126.10793610290705,8,0,0,0,0
6,53,8,38,2.332570325730837,1.8076501173672987,107.41908433268553,126.10793610290705,8,0,0,0,0
7,53,8,38,2.332570325730837,1.8076501173672987,107.41908433268553,126.10793610290705,8,0,0,0,0
8,53,8,37,2.332570325730837,1.8076501173672987,107.41908433268553,126.10793610290705,8,0,0,0,0
9,54,8,37,2.351047169182492,1.8076501173672987,107.78192217382154,126.10793610290705,9,0,0,0,0
10,54,8,37,2.351047169182492,1.8076501173672987,107.78192217382154,126.10793610290705,9,0,0,0,0
11,54,8,37,2.351047169182492,1.8076501173672987,107.78192217382154,126.10793610290705,9,0,0,0,0
12,54,8,37,2.351047169182492,1.8076501173672987,107.78192217382154,126.10793610290705,9,0,0,0,0
13,54,8,37,2.351047169182492,1.8076501173672987,107.78192217382154,126.10793610290705,9,0,0,0,0
14,54,8,37,2.351047169182492,1.8076501173672987,107.78192217382154,126.10793610290705,9,0,0,0,0
15,54,8,37,2.351047169182492,1.8076501173672987,107.78192217382154,126.10793610290705,9,0,0,0,0
16,54,8,37,2.351047169182492,1.8076501173672987,107.78192217382154,126.10793610290705,9,0,0,0,0
17,54,8,37,2.351047169182492,1.8076501173672987,107.78192217382154,126.10793610290705,9,0,0,0,0
18,54,8,37,2.351047169182492,1.8076501173672987,107.78192217382154,126.10793610290705,9,0,0,0,0
