tick,prey_population,predator_population,resource_count,avg_prey_speed,avg_predator_speed,avg_prey_vision,avg_predator_vision,births_total,deaths_total,predation_total,prey_extinct,predators_extinct
1,68,10,38,2.2799221801277643,1.6858631016007848,106.7235129954273,113.54806856211175,25,0,0,0,0
2,68,10,37,2.2799221801277643,1.6858631016007848,106.7235129954273,113.54806856211175,25,0,0,0,0
3,68,10,36,2.2799221801277643,1.6858631016007848,106.7235129954273,113.54806856211175,25,0,0,0,0
4,69,10,36,2.288636107836716,1.6858631016007848,107.07661744838693,113.54806856211175,26,0,0,0,0
5,71,10,36,2.263693154374054,1.6858631016007848,107.33358135168757,113.54806856211175,28,0,0,0,0
6,71,10,35,2.263693154374054,1.6858631016007848,107.33358135168757,113.54806856211175,28,0,0,0,0
7,71,10,35,2.263693154374054,1.6858631016007848,107.33358135168757,113.54806856211175,28,0,0,0,0
8,71,10,33,2.263693154374054,1.6858631016007848,107.33358135168757,113.54806856211175,28,0,0,0,0
9,73,10,32,2.275241696810622,1.6858631016007848,107.98201663133361,113.54806856211175,30,0,0,0,0
10,73,10,32,2.275241696810622,1.6858631016007848,107.98201663133361,113.54806856211175,30,0,0,0,0
11,73,10,32,2.275241696810622,1.6858631016007848,107.98201663133361,113.54806856211175,30,0,0,0,0
12,73,10,32,2.275241696810622,1.6858631016007848,107.98201663133361,113.54806856211175,30,0,0,0,0
13,73,10,32,2.275241696810622,1.6858631016007848,107.98201663133361,113.54806856211175,30,0,0,0,0
14,73,10,32,2.275241696810622,1.6858631016007848,107.98201663133361,113.54806856211175,30,0,0,0,0
15,73,10,32,2.275241696810622,1.6858631016007848,107.98201663133361,113.54806856211175,30,0,0,0,0
16,73,10,31,2.275241696810622,1.6858631016007848,107.98201663133361,113.54806856211175,30,0,0,0,0
17,73,10,29,2.275241696810622,1.6858631016007848,107.98201663133361,113.54806856211175,30,0,0,0,0
18,75,10,29,2.290796424979126,1.6858631016007848,108.75737386613856,113.54806856211175,32,0,0,0,0
19,75,10,28,2.290796424979126,1.6858631016007848,108.75737386613856,113.54806856211175,32,0,0,0,0
20,75,10,28,2.290796424979126,1.6858631016007848,108.75737386613856,113.54806856211175,32,0,0,0,0
21,75,10,27,2.290796424979126,1.6858631016007848,108.75737386613856,113.54806856211175,32,0,0,0,0
22,75,10,25,2.290796424979126,1.6858631016007848,108.75737386613856,113.54806856211175,32,0,0,0,0
23,76,10,25,2.3028500201489854,1.6858631016007848,108.54568189618952,113.54806856211175,33,0,0,0,0
24,76,10,24,2.3028500201489854,1.6858631016007848,108.54568189618952,113.54806856211175,33,0,0,0,0
25,77,10,24,2.3043280731843536,1.6858631016007848,108.06541027908504,113.54806856211175,34,0,0,0,0
26,77,10,24,2.3043280731843536,1.6858631016007848,108.06541027908504,113.54806856211175,34,0,0,0,0
27,77,10,24,2.3043280731843536,1.6858631016007848,108.06541027908504,113.54806856211175,34,0,0,0,0
28,77,10,23,2.3043280731843536,1.6858631016007848,108.06541027908504,113.54806856211175,34,0,0,0,0
29,77,10,22,2.3043280731843536,1.6858631016007848,108.06541027908504,113.54806856211175,34,0,0,0,0
30,77,10,22,2.3043280731843536,1.6858631016007848,108.06541027908504,113.54806856211175,34,0,0,0,0
31,77,10,23,2.3043280731843536,1.6858631016007848,108.06541027908504,113.54806856211175,34,0,0,0,0
32,77,10,23,2.3043280731843536,1.6858631016007848,108.06541027908504,113.54806856211175,34,0,0,0,0
33,77,10,20,2.3043280731843536,1.6858631016007848,108.06541027908504,113.54806856211175,34,0,0,0,0
34,78,10,20,2.3117226116008966,1.6858631016007848,107.94754507394126,113.54806856211175,35,0,0,0,0
35,78,10,20,2.3117226116008966,1.6858631016007848,107.94754507394126,113.54806856211175,35,0,0,0,0
36,78,10,19,2.3117226116008966,1.6858631016007848,107.94754507394126,113.54806856211175,35,0,0,0,0
37,78,10,19,2.3117226116008966,1.6858631016007848,107.94754507394126,113.54806856211175,35,0,0,0,0
38,78,10,19,2.3117226116008966,1.6858631016007848,107.94754507394126,113.54806856211175,35,0,0,0,0
39,78,10,19,2.3117226116008966,1.6858631016007848,107.94754507394126,113.54806856211175,35,0,0,0,0
40,78,10,19,2.3117226116008966,1.6858631016007848,107.94754507394126,113.54806856211175,35,0,0,0,0
41,78,10,19,2.3117226116008966,1.6858631016007848,107.94754507394126,113.54806856211175,35,0,0,0,0
42,78,10,19,2.3117226116008966,1.6858631016007848,107.94754507394126,113.54806856211175,35,0,0,0,0
43,78,10,19,2.3117226116008966,1.6858631016007848,107.94754507394126,113.54806856211175,35,0,0,0,0
44,78,10,19,2.3117226116008966,1.6858631016007848,107.94754507394126,113.54806856211175,35,0,0,0,0
45,78,10,19,2.3117226116008966,1.6858631016007848,107.94754507394126,113.54806856211175,35,0,0,0,0
46,78,10,19,2.3117226116008966,1.6858631016007848,107.94754507394126,113.54806856211175,35,0,0,0,0
47,78,10,18,2.3117226116008966,1.6858631016007848,107.94754507394126,113.54806856211175,35,0,0,0,0
48,79,10,17,2.300037953124016,1.6858631016007848,107.74602016727104,113.54806856211175,36,0,0,0,0
49,79,10,17,2.300037953124016,1.6858631016007848,107.74602016727104,113.54806856211175,36,0,0,0,0
50,79,10,17,2.300037953124016,1.6858631016007848,107.74602016727104,113.54806856211175,36,0,0,0,0
51,79,10,17,2.300037953124016,1.6858631016007848,107.74602016727104,113.54806856211175,36,0,0,0,0
52,79,10,17,2.300037953124016,1.6858631016007848,107.74602016727104,113.54806856211175,36,0,0,0,0
53,79,10,17,2.300037953124016,1.6858631016007848,107.74602016727104,113.54806856211175,36,0,0,0,0
54,79,10,17,2.300037953124016,1.6858631016007848,107.74602016727104,113.54806856211175,36,0,0,0,0
55,79,10,17,2.300037953124016,1.6858631016007848,107.74602016727104,113.54806856211175,36,0,0,0,0
56,79,10,18,2.300037953124016,1.6858631016007848,107.74602016727104,113.54806856211175,36,0,0,0,0
57,79,10,19,2.300037953124016,1.6858631016007848,107.74602016727104,113.54806856211175,36,0,0,0,0
58,79,10,19,2.300037953124016,1.6858631016007848,107.74602016727104,113.54806856211175,36,0,0,0,0
59,79,10,19,2.300037953124016,1.6858631016007848,107.74602016727104,113.54806856211175,36,0,0,0,0
60,79,10,19,2.300037953124016,1.6858631016007848,107.74602016727104,113.54806856211175,36,0,0,0,0
61,79,10,18,2.300037953124016,1.6858631016007848,107.74602016727104,113.54806856211175,36,0,0,0,0
62,79,10,18,2.300037953124016,1.6858631016007848,107.74602016727104,113.54806856211175,36,0,0,0,0
63,79,10,18,2.300037953124016,1.6858631016007848,107.74602016727104,113.54806856211175,36,0,0,0,0
64,79,10,18,2.300037953124016,1.6858631016007848,107.74602016727104,113.54806856211175,36,0,0,0,0
65,79,10,18,2.300037953124016,1.6858631016007848,107.74602016727104,113.54806856211175,36,0,0,0,0
66,79,10,18,2.300037953124016,1.6858631016007848,107.74602016727104,113.54806856211175,36,0,0,0,0
67,79,10,18,2.300037953124016,1.6858631016007848,107.74602016727104,113.54806856211175,36,0,0,0,0
68,79,10,18,2.300037953124016,1.6858631016007848,107.74602016727104,113.54806856211175,36,0,0,0,0
69,79,10,18,2.300037953124016,1.6858631016007848,107.74602016727104,113.54806856211175,36,0,0,0,0
70,79,10,18,2.300037953124016,1.6858631016007848,107.74602016727104,113.54806856211175,36,0,0,0,0
71,79,10,18,2.300037953124016,1.6858631016007848,107.74602016727104,113.54806856211175,36,0,0,0,0
72,79,10,17,2.300037953124016,1.6858631016007848,107.74602016727104,113.54806856211175,36,0,0,0,0
73,79,10,16,2.300037953124016,1.6858631016007848,107.74602016727104,113.54806856211175,36,0,0,0,0
74,79,10,16,2.300037953124016,1.6858631016007848,107.74602016727104,113.54806856211175,36,0,0,0,0
75,79,10,16,2.300037953124016,1.6858631016007848,107.74602016727104,113.54806856211175,36,0,0,0,0
76,79,10,16,2.300037953124016,1.6858631016007848,107.74602016727104,113.54806856211175,36,0,0,0,0
77,79,10,15,2.300037953124016,1.6858631016007848,107.74602016727104,113.54806856211175,36,0,0,0,0
78,79,10,15,2.300037953124016,1.6858631016007848,107.74602016727104,113.54806856211175,36,0,0,0,0
79,87,10,15,2.345623642210045,1.6858631016007848,107.04313923727476,113.54806856211175,44,0,0,0,0
80,87,10,14,2.345623642210045,1.6858631016007848,107.04313923727476,113.54806856211175,44,0,0,0,0
81,88,10,14,2.3406971544092716,1.6858631016007848,107.2859252041938,113.54806856211175,45,0,0,0,0
82,89,10,14,2.346770031236644,1.6858631016007848,107.48784834523786,113.54806856211175,46,0,0,0,0
83,89,10,13,2.346770031236644,1.6858631016007848,107.48784834523786,113.54806856211175,46,0,0,0,0
84,90,10,13,2.3347285219022895,1.6858631016007848,107.56209218578046,113.54806856211175,47,0,0,0,0
85,90,10,13,2.3347285219022895,1.6858631016007848,107.56209218578046,113.54806856211175,47,0,0,0,0
86,90,10,13,2.3347285219022895,1.6858631016007848,107.56209218578046,113.54806856211175,47,0,0,0,0
87,91,10,12,2.345669086190399,1.6858631016007848,107.77583103817881,113.54806856211175,48,0,0,0,0
88,91,10,12,2.345669086190399,1.6858631016007848,107.77583103817881,113.54806856211175,48,0,0,0,0
