tick,prey_population,predator_population,resource_count,avg_prey_speed,avg_predator_speed,avg_prey_vision,avg_predator_vision,births_total,deaths_total,predation_total,prey_extinct,predators_extinct
1,67,9,123,2.3402413185120214,2.2914434419242857,99.80112026830346,129.5810715046721,23,0,0,0,0
2,69,9,123,2.334823675109335,2.2914434419242857,99.78423654572994,129.5810715046721,25,0,0,0,0
3,69,9,123,2.334823675109335,2.2914434419242857,99.78423654572994,129.5810715046721,25,0,0,0,0
4,70,9,122,2.33860748650734,2.2914434419242857,99.53190858656248,129.5810715046721,26,0,0,0,0
5,71,9,119,2.3330958888692837,2.2914434419242857,99.68929864881578,129.5810715046721,27,0,0,0,0
6,73,9,118,2.351845523381322,2.2914434419242857,99.69666393910444,129.5810715046721,29,0,0,0,0
7,73,9,116,2.351845523381322,2.2914434419242857,99.69666393910444,129.5810715046721,29,0,0,0,0
8,73,9,114,2.351845523381322,2.2914434419242857,99.69666393910444,129.5810715046721,29,0,0,0,0
9,74,9,113,2.3595254774462475,2.2914434419242857,100.15934112512988,129.5810715046721,30,0,0,0,0
10,75,9,112,2.371331699391044,2.2914434419242857,100.01328964034123,129.5810715046721,31,0,0,0,0
11,75,9,110,2.371331699391044,2.2914434419242857,100.01328964034123,129.5810715046721,31,0,0,0,0
12,75,9,109,2.371331699391044,2.2914434419242857,100.01328964034123,129.5810715046721,31,0,0,0,0
13,75,9,106,2.371331699391044,2.2914434419242857,100.01328964034123,129.5810715046721,31,0,0,0,0
14,76,9,104,2.3623211809041504,2.2914434419242857,100.59590168782593,129.5810715046721,32,0,0,0,0
15,77,9,102,2.373808156692403,2.2914434419242857,100.36757163455138,129.5810715046721,33,0,0,0,0
16,78,9,98,2.3825812128035357,2.2914434419242857,99.96557084344282,129.5810715046721,34,0,0,0,0
17,80,9,94,2.3993505104981945,2.2914434419242857,100.17506131405813,129.5810715046721,36,0,0,0,0
18,80,9,94,2.3993505104981945,2.2914434419242857,100.17506131405813,129.5810715046721,36,0,0,0,0
19,80,9,93,2.3993505104981945,2.2914434419242857,100.17506131405813,129.5810715046721,36,0,0,0,0
20,80,9,91,2.3993505104981945,2.2914434419242857,100.17506131405813,129.5810715046721,36,0,0,0,0
21,80,9,89,2.3993505104981945,2.2914434419242857,100.17506131405813,129.5810715046721,36,0,0,0,0
22,80,9,89,2.3993505104981945,2.2914434419242857,100.17506131405813,129.5810715046721,36,0,0,0,0
23,80,9,88,2.3993505104981945,2.2914434419242857,100.17506131405813,129.5810715046721,36,0,0,0,0
24,80,9,88,2.3993505104981945,2.2914434419242857,100.17506131405813,129.5810715046721,36,0,0,0,0
25,80,9,87,2.3993505104981945,2.2914434419242857,100.17506131405813,129.5810715046721,36,0,0,0,0
26,81,9,88,2.3861079359289383,2.2914434419242857,100.00748809769102,129.5810715046721,37,0,0,0,0
27,81,9,88,2.3861079359289383,2.2914434419242857,100.00748809769102,129.5810715046721,37,0,0,0,0
28,81,9,88,2.3861079359289383,2.2914434419242857,100.00748809769102,129.5810715046721,37,0,0,0,0
29,81,9,88,2.3861079359289383,2.2914434419242857,100.00748809769102,129.5810715046721,37,0,0,0,0
30,81,9,87,2.3861079359289383,2.2914434419242857,100.00748809769102,129.5810715046721,37,0,0,0,0
31,81,9,84,2.3861079359289383,2.2914434419242857,100.00748809769102,129.5810715046721,37,0,0,0,0
32,81,9,82,2.3861079359289383,2.2914434419242857,100.00748809769102,129.5810715046721,37,0,0,0,0
33,81,9,81,2.3861079359289383,2.2914434419242857,100.00748809769102,129.5810715046721,37,0,0,0,0
34,81,9,82,2.3861079359289383,2.2914434419242857,100.00748809769102,129.5810715046721,37,0,0,0,0
35,81,9,80,2.3861079359289383,2.2914434419242857,100.00748809769102,129.5810715046721,37,0,0,0,0
36,81,9,79,2.3861079359289383,2.2914434419242857,100.00748809769102,129.5810715046721,37,0,0,0,0
37,81,9,79,2.3861079359289383,2.2914434419242857,100.00748809769102,129.5810715046721,37,0,0,0,0
38,81,9,78,2.3861079359289383,2.2914434419242857,100.00748809769102,129.5810715046721,37,0,0,0,0
39,81,9,77,2.3861079359289383,2.2914434419242857,100.00748809769102,129.5810715046721,37,0,0,0,0
40,81,9,75,2.3861079359289383,2.2914434419242857,100.00748809769102,129.5810715046721,37,0,0,0,0
41,81,9,74,2.3861079359289383,2.2914434419242857,100.00748809769102,129.5810715046721,37,0,0,0,0
42,81,9,73,2.3861079359289383,2.2914434419242857,100.00748809769102,129.5810715046721,37,0,0,0,0
43,81,9,71,2.3861079359289383,2.2914434419242857,100.00748809769102,129.5810715046721,37,0,0,0,0
44,81,10,71,2.3861079359289383,2.2289143902755613,100.00748809769102,128.39517419830344,38,0,0,0,0
45,81,10,70,2.3861079359289383,2.2289143902755613,100.00748809769102,128.39517419830344,38,0,0,0,0
46,81,10,69,2.3861079359289383,2.2289143902755613,100.00748809769102,128.39517419830344,38,0,0,0,0
47,81,10,68,2.3861079359289383,2.2289143902755613,100.00748809769102,128.39517419830344,38,0,0,0,0
48,81,10,67,2.3861079359289383,2.2289143902755613,100.00748809769102,128.39517419830344,38,0,0,0,0
